0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,3,3,2,2,3,3,3,
7,6,6,6,7,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
19,19,19,19,19,19,19,19,19,19,18,19,19,19,19,18,19,19,19,19,19,19,19,18,19,19,19,19,19,19,
35,35,52,53,37,35,36,35,35,48,35,35,35,36,35,35,50,53,53,36,35,35,35,35,35,51,35,35,35,36,
91,91,72,72,71,72,72,84,106,115,72,72,72,72,72,101,72,72,72,72,72,72,72,72,72,72,72,72,73,72,
143,142,143,142,142,142,154,142,141,142,142,142,142,141,142,142,162,142,142,142,141,142,142,141,142,142,142,142,141,141,
283,281,282,279,94,93,95,95,94,95,102,96,97,96,95,94,94,95,95,95,95,95,94,94,94,94,94,94,95,94,
188,188,189,187,189,188,187,193,213,231,210,247,262,206,254,198,189,198,199,181,188,173,174,173,173,174,172,173,193,168,
338,337,340,326,326,327,333,330,338,342,351,340,387,342,324,353,321,321,323,317,318,319,342,307,308,308,308,308,314,328,
673,616,622,612,635,628,638,633,688,613,614,624,619,624,651,633,635,654,613,612,612,621,612,613,612,620,594,613,594,594,
1213,1281,1193,1191,1191,1193,1197,1189,1194,1191,1192,1196,1191,1191,1203,1234,1191,1191,1196,1188,1189,1193,1190,1188,1154,1161,1157,1165,1135,1149,
2266,2260,2185,2183,2185,2173,2146,2145,2133,2126,2129,2127,2091,2077,2081,2103,2072,2083,2082,2083,2077,2212,2107,2094,2086,2080,2076,2080,2076,2078,
4597,4154,4152,4149,4199,4140,4047,4093,4200,4311,4174,4094,4203,4093,4091,4265,4220,4163,4161,4163,4207,4160,4163,4109,4302,4166,4161,4161,4279,4145,
8162,8313,8123,8255,8259,8423,8359,8394,8336,8361,8324,8373,8359,8360,8336,8356,8379,8407,8369,8353,8359,9020,9090,9239,8900,8760,8625,8606,8732,8678,
17364,17242,17055,17819,17918,17591,17303,17195,17035,16815,17066,17141,17240,17162,16953,17096,20495,18530,17883,17445,17302,17180,16921,17083,17227,17176,17079,17340,17200,17177,
33876,34069,34168,34455,35510,35329,34748,34902,34800,34494,34692,35967,35412,34973,33967,33793,33871,33682,33880,33781,33786,34810,34331,33802,33780,33793,33836,33807,33818,33855,
71354,68693,67929,69776,74597,75086,72129,70711,69877,70131,70253,70018,71344,72140,70768,71173,70759,71147,73814,72605,71107,71902,69845,69823,69618,69896,69855,69529,69760,71435,
139647,144528,140334,141056,140897,138449,137056,137290,142608,137333,140471,137119,138160,137000,136989,139929,138448,136656,136921,136800,137050,137828,138784,139775,136969,137142,136758,136412,136788,138462,
273739,274227,274473,284976,274970,273138,274365,275864,274658,274444,278503,273965,282414,274504,276803,297075,282315,300676,316819,290384,302667,321225,321071,313372,350994,330963,285600,319704,322163,282835,
